,query_id,query_text
0,4584,How can ask questions using photos?
1,6588,What is Atal Pension Yojana? What are its benefits?
2,10113,Where is starch digested? How is it digested?
3,7957,What is a conjecture? What are some examples?
4,5498,What can India do to support the people suffering from civilian war in Syria?
5,7614,How do introverts enjoy life?
6,7301,Where does dreams come from?
7,4974,Is the lowest sum rule still used in naming organic compounds?
8,2615,Kindly tell me whole process of admission at vits Vellore for biotech.i m a bio student in 12..I don't have math there?
9,8950,"What did Theodore Roosevelt mean when he said, ""Black care never sits behind a rider whose pace is fast enough""?"
10,9658,How does one become more strategic?
11,2429,How can impress a girl who hate me?
12,1803,How can I get followers and comments on my blog?
13,318,How does Quora look to a moderator?
14,6055,What's your secret to success?
15,7841,How do I handle fear of change?
16,9733,How important is sex in a relationship?
17,4874,How much equity should I get as CTO/co-founder?
18,2824,Did Tywin sleep with Shae out of pure spite?
19,744,What should someone do to overcome anxiety?
20,9889,Why does phase shift take place in the output of the common emitter amplifier when compared to the input signal?
21,7822,Why do people say Dhanush (South Indian actor) is ugly? I don't think so.?
22,10024,How do I reset my Gmail password when I don't remember my recovery information?
23,4105,How can I get rid of cellulite on my stomach?
24,2791,What has been your most embarrassing moment in front of a stranger?
25,7988,How do I rid myself of my paranoia?
26,378,How do I refuse to chose between different things to do in my life?
27,8808,"Who is better for India, Donald Trump or Hillary Clinton? Why?"
28,11167,Will the value of Indian rupee increase after the ban of 500 and 1000 rupee notes?
29,2757,"Who created the ""GOD""?"
30,7319,How can I become a billionaire in mindset?
31,9294,How does the Laravel authentication work?
32,5799,What if humans were nocturnal?
33,5647,What can be substituted for butter?
34,8810,How much has your salary increased from your first job to today?
35,6483,How is it to work with Satya Nadella?
36,3796,What is the difference between transgender man and transgender woman?
37,5040,How and where did feudalism develop?
38,6253,How can I observe like Sherlock Holmes?
39,3076,What causes nuclear reactions in the Sun?
40,9965,What is the best way to memorize notes?
41,8456,Is Syrio Forel a faceless man following Arya around being different people?
42,9615,Will President Obama declare martial law and remain in power if Trump is elected?
43,399,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?
44,7372,Is Donald Trump the 666 Antichrist?
45,1578,What is the GÃ¼len movement?
46,8831,What is the Best way to learn Oracle HRMS?
47,3459,What websites do you use everyday?
48,540,How can I get free gems in Clash of Clans?
49,1956,How do I get job in Google or Microsoft?
50,3017,"In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?"
51,6209,Who was the most powerful king in the history of India?
52,10155,How do I use Facebook in China?
53,8055,How does the LinkedIn acquisition help Microsoft achieve its mission?
54,3322,How will work and jobs change in the next 10-20 years?
55,2658,What is the benefit to Quora?
56,6936,Why do I feel alone sometimes?
57,548,How do you feel when someone upvotes your answer on Quora?
58,6276,How do I impress the boss's boss?
59,609,What are the best thriller movie in Hollywood?
60,1350,What are some interesting facts about Bengaluru?
61,10188,What did you write in your admission essay for college?
62,2785,Are there any other republicans (here) who voted for Hillary Clinton?
63,3521,How do I deal with my embarrassment?
64,9312,How do I make reading a habit?
65,420,Why creativity is important?
66,3959,How can I find a job in Mumbai?
67,2822,How do I get rid of mosquitoes bites quickly?
68,2145,Where can I get free books?
69,2678,Who are some famous people with low IQs?
70,784,Why should one hate Shahrukh Khan?
71,5162,What happens when you die in a dream?
72,7396,Which are the best and cheapest universities in the USA for doing an MS in computer science?
73,1248,Is there any other website similar to Quora?
74,7463,Which microcontrollers are generally used in the robotics industry?
75,1453,"I am 22, my weight is 46 kg and my height is 5.4 ft. What should I do to gain height and weight?"
76,8458,What is it like to work at a call centre?
77,7222,What is difference between faith and belief?
78,5516,Which is your favorite ice cream brand? Which flavor and why?
79,1992,Can we map the surface (and the subsurface) of a planet using cosmic rays or very high frequency gamma rays with ground based telescopes?
80,9376,Can anime exist in a parallel universe/multiverse?
81,9214,What are some baby shower games that are actually fun?
82,11591,Is it possible to lose weight without doing exercise?
83,4356,How do we live?
84,5851,How do you remove epoxy paint from a concrete surface?
85,2661,What is so special about Rolls Royce cars that they are only given to respected personalities?
86,6957,Does hypnosis work?
87,12584,What is the greatest mystery in earth?
88,8306,"What is Fiverr, and how do they make money?"
89,6244,What is the best Grand Theft Auto?
90,8482,Am I too heavy as a pair skater? 5 ft 108 lb (as of late)!
91,858,What would Hillary Clinton do now that the election is over?
92,7105,What are the requirements of modulation?
93,1166,"Can I learn while sleeping? If so, how?"
94,9340,Why did Ecuador cut Julian Assange's Internet access?
95,975,What are the best ways to prepare for software interviews?
96,379,Did Ben Affleck shine more than Christian Bale as Batman?
97,1164,Do Trump voters care that he has reneged all his campaign promises?
98,12508,Where can I get best qualities outdoor tiles in Sydney?
99,1079,How do I become a good computer science engineer?
